id,sex_cat_sen,age_sen,race_cat_sen,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree_cat,went_to_jail_cat,days_jail,predict_feat,age_sen_cat,training
10698,Male,24,African-American,0,0,3,0,F,True,0,0,18_to_25,1
4464,Male,37,African-American,0,0,0,3,M,False,2,0,25_to_45,1
5262,Female,48,Caucasian,0,0,0,2,F,False,33,0,45_to_65,1
6866,Female,23,African-American,0,1,0,1,M,False,0,0,18_to_25,1
7242,Female,22,African-American,0,0,0,0,M,False,2,0,18_to_25,1
8727,Male,44,Caucasian,0,0,0,4,F,False,0,0,25_to_45,1
3315,Male,62,Caucasian,0,0,0,0,M,False,3,0,45_to_65,1
2161,Male,29,Caucasian,0,0,0,0,M,False,1,0,25_to_45,1
2176,Male,42,Caucasian,0,0,0,1,M,True,1,0,25_to_45,1
2485,Female,31,African-American,0,0,0,2,F,False,2,0,25_to_45,1
6119,Female,25,African-American,0,0,0,5,M,False,0,1,25_to_45,1
574,Male,24,Caucasian,0,0,0,1,M,False,37,0,18_to_25,1
10180,Female,44,Caucasian,0,0,0,1,M,False,31,0,25_to_45,1
9924,Male,29,Caucasian,0,0,0,0,F,True,1,0,25_to_45,1
4257,Male,30,African-American,0,0,0,4,M,True,2,0,25_to_45,1
6173,Male,70,African-American,0,0,0,0,M,False,2,0,65_and_over,1
2586,Male,40,Caucasian,0,0,0,1,F,False,22,0,25_to_45,1
3404,Male,52,African-American,0,0,0,2,F,False,4,0,45_to_65,1
6808,Male,32,Other,0,0,0,0,F,False,2,0,25_to_45,1
7618,Male,32,Other,0,0,0,0,F,False,1,0,25_to_45,1
6055,Female,23,African-American,0,0,0,0,F,True,1,0,18_to_25,1
4078,Male,47,Hispanic,0,0,0,0,M,False,4,0,45_to_65,1
617,Male,60,Other,0,0,0,4,F,False,2,0,45_to_65,1
3917,Male,22,African-American,0,0,1,0,F,False,0,0,18_to_25,1
8887,Female,27,Other,0,0,0,5,F,True,2,0,25_to_45,1
5348,Female,35,African-American,0,0,0,0,M,False,3,0,25_to_45,1
884,Male,66,Caucasian,0,0,0,0,M,False,1,0,65_and_over,1
732,Male,29,Hispanic,0,0,0,2,M,False,1,0,25_to_45,1
6837,Male,51,Caucasian,0,0,0,3,M,False,1,0,45_to_65,1
4448,Male,35,African-American,0,0,0,0,F,False,2,0,25_to_45,1
8396,Male,27,African-American,0,0,0,7,F,True,35,1,25_to_45,1
10843,Male,24,Hispanic,0,0,0,0,M,False,1,0,18_to_25,1
